state_id,a,b,r,U,L,new_blue,new_red,blue_target,blue_power,red_allowed,red_target,red_power,c0,c1,c2,c3,c4,lower_bound,upper_bound,status
q108,N,Bo,R,B Bo B,Ro R R,B,R,q348,2,1,q048,0,-15363,-69389,-66052,82635,31059,7647590960687692288402419/1000000000000000000000000,2049760040278517583879/244140625000000000000,positive
q109,N,Bo,R,B Bo B,R Ro Ro,Bo,Ro,q341,2,1,q105,1,0,0,0,0,0,0,0,zero
q109,N,Bo,R,B Bo B,R Ro Ro,Bo,R,q341,2,1,q106,1,8,32,64,-56,-24,20748475642160104557/30517578125000000000,85055126338959082806877/125000000000000000000000,positive
q109,N,Bo,R,B Bo B,R Ro Ro,B,Ro,q349,2,1,q105,1,-930,-4200,-3996,5010,1872,97704774601793571406797/62500000000000000000000,98177755609612642233/61035156250000000000,positive
q109,N,Bo,R,B Bo B,R Ro Ro,B,R,q349,2,1,q106,1,-922,-4168,-3932,4954,1848,280464675542546225620471/125000000000000000000000,139674706893932851347/61035156250000000000,positive
q110,N,Bo,R,B Bo B,R Ro R,Bo,Ro,q342,2,1,q107,1,0,0,0,0,0,0,0,zero
q110,N,Bo,R,B Bo B,R Ro R,Bo,R,q342,2,1,q108,1,-1884,-8510,-8124,10100,3858,2109411697758408638178089/500000000000000000000000,526221443506803301099/122070312500000000000,positive
q110,N,Bo,R,B Bo B,R Ro R,B,Ro,q350,2,1,q107,1,-3683,-16623,-15808,19803,7425,103991560345918491159177/40000000000000000000000,27137990171437553857/9765625000000000000,positive
q110,N,Bo,R,B Bo B,R Ro R,B,R,q350,2,1,q108,1,-5567,-25133,-23932,29903,11283,6818612404164779555335603/1000000000000000000000000,1730892641299545448623/244140625000000000000,positive
q111,N,Bo,R,B Bo B,R R Ro,Bo,Ro,q343,2,1,q109,1,0,0,0,0,0,0,0,zero
q111,N,Bo,R,B Bo B,R R Ro,Bo,R,q343,2,1,q110,1,-8,-40,-56,56,24,98467037437040917193123/125000000000000000000000,6014104656903821517/7629394531250000000,positive
q111,N,Bo,R,B Bo B,R R Ro,B,Ro,q351,2,1,q109,1,2310,10452,9978,-12444,-4698,21165557246978934141/7629394531250000000,1443545918649533290784691/500000000000000000000000,positive
q111,N,Bo,R,B Bo B,R R Ro,B,R,q351,2,1,q110,1,2302,10412,9922,-12388,-4674,13589830951941377829/3814697265625000000,1837414068397696959557183/500000000000000000000000,positive
q112,N,Bo,R,B Bo B,R R R,Bo,Ro,q344,2,1,q111,1,0,0,0,0,0,0,0,zero
q112,N,Bo,R,B Bo B,R R R,Bo,R,q344,2,1,q112,1,-1400,-6320,-6024,7504,2856,407145341146330680981637/125000000000000000000000,25370852307244916773/7629394531250000000,positive
q112,N,Bo,R,B Bo B,R R R,B,Ro,q352,2,1,q111,1,-4413,-19923,-18948,23733,8901,3426813073218115499995941/1000000000000000000000000,889045092089218591881/244140625000000000000,positive
q112,N,Bo,R,B Bo B,R R R,B,R,q352,2,1,q112,1,-5813,-26243,-24972,31237,11757,6683975802388760947849037/1000000000000000000000000,1700912365921055928617/244140625000000000000,positive
q113,N,Bo,R,B B Bo,Ro Ro Ro,Bo,Ro,q353,2,1,q049,0,1012,4672,4668,-5672,-2148,86058454924124162539/30517578125000000000,717910410513236267430983/250000000000000000000000,positive
q113,N,Bo,R,B B Bo,Ro Ro Ro,Bo,R,q353,2,1,q050,0,5194,23604,22742,-28236,-10638,144027287656101356609/30517578125000000000,2487801093393179147592921/500000000000000000000000,positive
q113,N,Bo,R,B B Bo,Ro Ro Ro,B,Ro,q361,2,1,q049,0,0,0,0,0,0,0,0,zero
q113,N,Bo,R,B B Bo,Ro Ro Ro,B,R,q361,2,1,q050,0,4182,18932,18074,-22564,-8490,5796883273197719407/3051757812500000000,210396054473341322546191/100000000000000000000000,positive
q114,N,Bo,R,B B Bo,Ro Ro R,Bo,Ro,q354,2,1,q051,0,180,840,848,-1028,-384,22265241774511195831/15258789062500000000,11472702374956335588127/7812500000000000000000,positive
q114,N,Bo,R,B B Bo,Ro Ro R,Bo,R,q354,2,1,q052,0,-4770,-21552,-20522,25664,9654,2478665398681560986734907/500000000000000000000000,316758929584578532331/61035156250000000000,positive
q114,N,Bo,R,B B Bo,Ro Ro R,B,Ro,q362,2,1,q051,0,0,0,0,0,0,0,0,zero
q114,N,Bo,R,B B Bo,Ro Ro R,B,R,q362,2,1,q052,0,-4950,-22392,-21370,26692,10038,1744412446684355509094779/500000000000000000000000,227697962486533749007/61035156250000000000,positive
q115,N,Bo,R,B B Bo,Ro R Ro,Bo,Ro,q355,2,1,q053,0,28,132,136,-164,-60,5151798956110585807/12207031250000000000,21175789418519522406877/50000000000000000000000,positive
q115,N,Bo,R,B B Bo,Ro R Ro,Bo,R,q355,2,1,q054,0,1370,6180,5870,-7348,-2766,18451134359462839697/7629394531250000000,1242494123940400924970297/500000000000000000000000,positive
q115,N,Bo,R,B B Bo,Ro R Ro,B,Ro,q363,2,1,q053,0,0,0,0,0,0,0,0,zero
q115,N,Bo,R,B B Bo,Ro R Ro,B,R,q363,2,1,q054,0,1342,6048,5734,-7184,-2706,121850080095149788541/61035156250000000000,1030736229755205700901527/500000000000000000000000,positive
q116,N,Bo,R,B B Bo,Ro R R,Bo,Ro,q356,2,1,q055,0,0,0,0,0,0,0,0,zero
q116,N,Bo,R,B B Bo,Ro R R,Bo,R,q356,2,1,q056,0,3076,13912,13266,-16574,-6234,88784295890155131337/30517578125000000000,1529709657367058498345203/500000000000000000000000,positive
q116,N,Bo,R,B B Bo,Ro R R,B,Ro,q364,2,1,q055,0,-1748,-7902,-7552,9384,3582,1029851868041339635294431/500000000000000000000000,261859675117514579471/122070312500000000000,positive
q116,N,Bo,R,B B Bo,Ro R R,B,R,q364,2,1,q056,0,1328,6010,5714,-7190,-2652,616996858678135104819/122070312500000000000,1279780762704199066819817/250000000000000000000000,positive
q117,N,Bo,R,B B Bo,R Ro Ro,Bo,Ro,q357,2,1,q113,1,0,0,0,0,0,0,0,zero
q117,N,Bo,R,B B Bo,R Ro Ro,Bo,R,q357,2,1,q114,1,-2830,-12798,-12198,15244,5736,285255177659944036656397/125000000000000000000000,295426944602408871633/122070312500000000000,positive
q117,N,Bo,R,B B Bo,R Ro Ro,B,Ro,q365,2,1,q113,1,172,784,756,-944,-348,16471472103482430139/30517578125000000000,137059260757725490399433/250000000000000000000000,positive
q117,N,Bo,R,B B Bo,R Ro Ro,B,R,q365,2,1,q114,1,-2658,-12014,-11442,14300,5388,707569616077613563712227/250000000000000000000000,361312833016338592189/122070312500000000000,positive
q118,N,Bo,R,B B Bo,R Ro R,Bo,Ro,q358,2,1,q115,1,0,0,0,0,0,0,0,zero
q118,N,Bo,R,B B Bo,R Ro R,Bo,R,q358,2,1,q116,1,3346,15126,14414,-18024,-6768,495836612280496674671/122070312500000000000,264066295920131779269657/62500000000000000000000,positive
q118,N,Bo,R,B B Bo,R Ro R,B,Ro,q366,2,1,q115,1,-76,-352,-360,428,168,126661693622934771851861/125000000000000000000000,7760981159924688119/7629394531250000000,positive
q118,N,Bo,R,B B Bo,R Ro R,B,R,q366,2,1,q116,1,3270,14774,14054,-17596,-6600,24800492433571667383/4882812500000000000,26191771418527933215647/5000000000000000000000,positive
q119,N,Bo,R,B B Bo,R R Ro,Bo,Ro,q359,2,1,q117,1,0,0,0,0,0,0,0,zero
q119,N,Bo,R,B B Bo,R R Ro,Bo,R,q359,2,1,q118,1,1342,6048,5734,-7184,-2706,121850080095149788541/61035156250000000000,1030736229755205700901527/500000000000000000000000,positive
q119,N,Bo,R,B B Bo,R R Ro,B,Ro,q367,2,1,q117,1,262,1174,1092,-1394,-510,47385020646067458719/24414062500000000000,195337771948431880916909/100000000000000000000000,positive
q119,N,Bo,R,B B Bo,R R Ro,B,R,q367,2,1,q118,1,1604,7222,6826,-8578,-3216,480625263420636870677/122070312500000000000,250928136187170638185759/62500000000000000000000,positive
q120,N,Bo,R,B B Bo,R R R,Bo,Ro,q360,2,1,q119,1,0,0,0,0,0,0,0,zero
q120,N,Bo,R,B B Bo,R R R,Bo,R,q360,2,1,q120,1,3076,13912,13266,-16574,-6234,88784295890155131337/30517578125000000000,1529709657367058498345203/500000000000000000000000,positive
q120,N,Bo,R,B B Bo,R R R,B,Ro,q368,2,1,q119,1,-442,-2008,-1944,2390,924,610009656755579193370471/250000000000000000000000,150263544033620167861/61035156250000000000,positive
